Manufacturer,Comment,Designator,Footprint,Quantity,PartNumber,Supplier
SAMSUNG,10uF,C2 C3,C_0402_1005Metric,2,C15525,JLC
SAMSUNG,10uF,C1,C_1206_3216Metric,1,C13585,JLC
SAMSUNG,100uF,C4 C5 C6,C_1206_3216Metric,3,C15008,JLC
EVERLIGHT,LED,D4 D5 D6,LED_0603_1608Metric,3,C72041,JLC
YXC,12MHz,Y1,Oscillator_SMD_3.2x2.5mm,1,C9002,JLC
UNI-ROYAL,2K,R3 R4 R5,R_0402_1005Metric,3,C4109,JLC
UNI-ROYAL,5.1K,R1 R2,R_0402_1005Metric,2,C25905,JLC
Ckmtw,USB_DS,J2 J3 J4,CKMTW_U-USBAN04P-F005,3,C386739,JLC-EXT
LRC,LESD5Z5.0CT1G,D1 D2 D3 D7 D8 D9 D10 D11 D12 D13 D14 D15,D_SOD-523,12,C136167,JLC-EXT
BHFUSE,1.5A/3A,F1 F2 F3,Fuse_1206_3216Metric,3,C883133,JLC-EXT
HRO,USB_US,J1,HRO_TYPE-C-31-M-12,1,C165948,JLC-EXT
CoreChips,SL2.1A,U1,SOP-16_3.9x9.9mm_P1.27mm,1,C192893,JLC-EXT
GANGYUAN,SW_Push_DPDT,SW1 SW2 SW3,SW_Push_DPDT_8.5x8.5mm,3,C194405,JLC-EXT
